Time,Lane 1 Flow (Veh/5 Minutes)
05/10/2018 00:55:00,57
05/10/2018 01:00:00,53
05/10/2018 01:05:00,68
05/10/2018 01:10:00,46
05/10/2018 01:15:00,53
05/10/2018 01:20:00,43
05/10/2018 01:25:00,43
05/10/2018 01:30:00,45
05/10/2018 01:35:00,40
05/10/2018 01:40:00,30
05/10/2018 01:45:00,25
05/10/2018 01:50:00,32
05/10/2018 01:55:00,22
05/10/2018 02:00:00,40
05/10/2018 02:05:00,43
05/10/2018 02:10:00,41
05/10/2018 02:15:00,32
05/10/2018 02:20:00,40
05/10/2018 02:25:00,16
05/10/2018 02:30:00,20
05/10/2018 02:35:00,29
05/10/2018 02:40:00,25
05/10/2018 02:45:00,20
05/10/2018 02:50:00,24
05/10/2018 02:55:00,26
05/10/2018 03:00:00,23
05/10/2018 03:05:00,17
05/10/2018 03:10:00,23
05/10/2018 03:15:00,11
05/10/2018 03:20:00,10
05/10/2018 03:25:00,19
05/10/2018 03:30:00,19
05/10/2018 03:35:00,15
05/10/2018 03:40:00,24
05/10/2018 03:45:00,12
05/10/2018 03:50:00,23
05/10/2018 03:55:00,5
05/10/2018 04:00:00,16
05/10/2018 04:05:00,16
05/10/2018 04:10:00,20
05/10/2018 04:15:00,21
05/10/2018 04:20:00,21
05/10/2018 04:25:00,19
05/10/2018 04:30:00,21
05/10/2018 04:35:00,30
05/10/2018 04:40:00,20
05/10/2018 04:45:00,44
05/10/2018 04:50:00,33
05/10/2018 04:55:00,27
05/10/2018 05:00:00,32
05/10/2018 05:05:00,30
05/10/2018 05:10:00,44
05/10/2018 05:15:00,49
05/10/2018 05:20:00,53
05/10/2018 05:25:00,49
05/10/2018 05:30:00,55
05/10/2018 05:35:00,57
05/10/2018 05:40:00,72
05/10/2018 05:45:00,99
05/10/2018 05:50:00,97
05/10/2018 05:55:00,78
05/10/2018 06:00:00,85
05/10/2018 06:05:00,104
05/10/2018 06:10:00,108
05/10/2018 06:15:00,103
05/10/2018 06:20:00,112
05/10/2018 06:25:00,120
05/10/2018 06:30:00,137
05/10/2018 06:35:00,163
05/10/2018 06:40:00,174
05/10/2018 06:45:00,185
05/10/2018 06:50:00,200
05/10/2018 06:55:00,206
05/10/2018 07:00:00,199
05/10/2018 07:05:00,242
05/10/2018 07:10:00,247
05/10/2018 07:15:00,245
05/10/2018 07:20:00,293
05/10/2018 07:25:00,287
05/10/2018 07:30:00,291
05/10/2018 07:35:00,335
05/10/2018 07:40:00,344
05/10/2018 07:45:00,349
05/10/2018 07:50:00,330
05/10/2018 07:55:00,302
05/10/2018 08:00:00,297
05/10/2018 08:05:00,298
05/10/2018 08:10:00,258
05/10/2018 08:15:00,295
05/10/2018 08:20:00,302
05/10/2018 08:25:00,273
05/10/2018 08:30:00,300
05/10/2018 08:35:00,309
05/10/2018 08:40:00,327
05/10/2018 08:45:00,346
05/10/2018 08:50:00,318
05/10/2018 08:55:00,254
05/10/2018 09:00:00,295
05/10/2018 09:05:00,272
05/10/2018 09:10:00,293
05/10/2018 09:15:00,273
05/10/2018 09:20:00,317
05/10/2018 09:25:00,259
05/10/2018 09:30:00,317
05/10/2018 09:35:00,297
05/10/2018 09:40:00,350
05/10/2018 09:45:00,354
05/10/2018 09:50:00,321
05/10/2018 09:55:00,292
05/10/2018 10:00:00,304
05/10/2018 10:05:00,310
05/10/2018 10:10:00,320
05/10/2018 10:15:00,314
05/10/2018 10:20:00,305
05/10/2018 10:25:00,332
05/10/2018 10:30:00,325
05/10/2018 10:35:00,359
05/10/2018 10:40:00,332
05/10/2018 10:45:00,324
05/10/2018 10:50:00,378
05/10/2018 10:55:00,343
05/10/2018 11:00:00,339
05/10/2018 11:05:00,379
05/10/2018 11:10:00,367
05/10/2018 11:15:00,384
05/10/2018 11:20:00,370
05/10/2018 11:25:00,353
05/10/2018 11:30:00,377
05/10/2018 11:35:00,369
05/10/2018 11:40:00,426
05/10/2018 11:45:00,393
05/10/2018 11:50:00,415
05/10/2018 11:55:00,420
05/10/2018 12:00:00,410
05/10/2018 12:05:00,391
05/10/2018 12:10:00,429
05/10/2018 12:15:00,428
05/10/2018 12:20:00,424
05/10/2018 12:25:00,423
05/10/2018 12:30:00,430
05/10/2018 12:35:00,407
05/10/2018 12:40:00,414
05/10/2018 12:45:00,491
05/10/2018 12:50:00,468
05/10/2018 12:55:00,433
05/10/2018 13:00:00,494
05/10/2018 13:05:00,435
05/10/2018 13:10:00,425
05/10/2018 13:15:00,485
05/10/2018 13:20:00,471
05/10/2018 13:25:00,479
05/10/2018 13:30:00,476
05/10/2018 13:35:00,475
05/10/2018 13:40:00,486
05/10/2018 13:45:00,523
05/10/2018 13:50:00,476
05/10/2018 13:55:00,503
05/10/2018 14:00:00,498
05/10/2018 14:05:00,554
05/10/2018 14:10:00,619
05/10/2018 14:15:00,608
05/10/2018 14:20:00,584
05/10/2018 14:25:00,579
05/10/2018 14:30:00,577
05/10/2018 14:35:00,556
05/10/2018 14:40:00,614
05/10/2018 14:45:00,567
05/10/2018 14:50:00,557
05/10/2018 14:55:00,536
05/10/2018 15:00:00,535
05/10/2018 15:05:00,548
05/10/2018 15:10:00,578
05/10/2018 15:15:00,613
05/10/2018 15:20:00,619
05/10/2018 15:25:00,570
05/10/2018 15:30:00,510
05/10/2018 15:35:00,572
05/10/2018 15:40:00,627
05/10/2018 15:45:00,622
05/10/2018 15:50:00,491
05/10/2018 15:55:00,506
05/10/2018 16:00:00,483
05/10/2018 16:05:00,520
05/10/2018 16:10:00,511
05/10/2018 16:15:00,596
05/10/2018 16:20:00,577
05/10/2018 16:25:00,604
05/10/2018 16:30:00,592
05/10/2018 16:35:00,602
05/10/2018 16:40:00,570
05/10/2018 16:45:00,590
05/10/2018 16:50:00,488
05/10/2018 16:55:00,547
05/10/2018 17:00:00,513
05/10/2018 17:05:00,553
05/10/2018 17:10:00,591
05/10/2018 17:15:00,554
05/10/2018 17:20:00,548
05/10/2018 17:25:00,633
05/10/2018 17:30:00,563
05/10/2018 17:35:00,509
05/10/2018 17:40:00,515
05/10/2018 17:45:00,542
05/10/2018 17:50:00,560
05/10/2018 17:55:00,597
05/10/2018 18:00:00,573
05/10/2018 18:05:00,609
05/10/2018 18:10:00,633
05/10/2018 18:15:00,577
05/10/2018 18:20:00,540
05/10/2018 18:25:00,526
05/10/2018 18:30:00,503
05/10/2018 18:35:00,498
05/10/2018 18:40:00,482
05/10/2018 18:45:00,479
05/10/2018 18:50:00,455
05/10/2018 18:55:00,413
05/10/2018 19:00:00,457
05/10/2018 19:05:00,461
05/10/2018 19:10:00,444
05/10/2018 19:15:00,419
05/10/2018 19:20:00,418
05/10/2018 19:25:00,447
05/10/2018 19:30:00,374
05/10/2018 19:35:00,386
05/10/2018 19:40:00,424
05/10/2018 19:45:00,411
05/10/2018 19:50:00,390
05/10/2018 19:55:00,393
05/10/2018 20:00:00,399
05/10/2018 20:05:00,369
05/10/2018 20:10:00,362
05/10/2018 20:15:00,417
05/10/2018 20:20:00,372
05/10/2018 20:25:00,407
05/10/2018 20:30:00,376
05/10/2018 20:35:00,390
05/10/2018 20:40:00,319
05/10/2018 20:45:00,363
05/10/2018 20:50:00,374
05/10/2018 20:55:00,394
05/10/2018 21:00:00,360
05/10/2018 21:05:00,379
05/10/2018 21:10:00,381
05/10/2018 21:15:00,396
05/10/2018 21:20:00,331
05/10/2018 21:25:00,339
05/10/2018 21:30:00,332
05/10/2018 21:35:00,321
05/10/2018 21:40:00,293
05/10/2018 21:45:00,288
05/10/2018 21:50:00,295
05/10/2018 21:55:00,293
05/10/2018 22:00:00,252
05/10/2018 22:05:00,266
05/10/2018 22:10:00,276
05/10/2018 22:15:00,258
05/10/2018 22:20:00,256
05/10/2018 22:25:00,244
05/10/2018 22:30:00,223
05/10/2018 22:35:00,250
05/10/2018 22:40:00,260
05/10/2018 22:45:00,218
05/10/2018 22:50:00,214
05/10/2018 22:55:00,198
05/10/2018 23:00:00,180
05/10/2018 23:05:00,223
05/10/2018 23:10:00,224
05/10/2018 23:15:00,205
05/10/2018 23:20:00,205
05/10/2018 23:25:00,175
05/10/2018 23:30:00,188
05/10/2018 23:35:00,184
05/10/2018 23:40:00,207
05/10/2018 23:45:00,200
05/10/2018 23:50:00,187
05/10/2018 23:55:00,137
05/11/2018 00:00:00,141
05/11/2018 00:05:00,163
05/11/2018 00:10:00,159
05/11/2018 00:15:00,125
05/11/2018 00:20:00,105
05/11/2018 00:25:00,115
05/11/2018 00:30:00,92
05/11/2018 00:35:00,91
05/11/2018 00:40:00,73
05/11/2018 00:45:00,82
05/11/2018 00:50:00,72
05/11/2018 00:55:00,79
05/11/2018 01:00:00,61
05/11/2018 01:05:00,69
05/11/2018 01:10:00,56
05/11/2018 01:15:00,66
05/11/2018 01:20:00,70
05/11/2018 01:25:00,36
05/11/2018 01:30:00,52
05/11/2018 01:35:00,60
05/11/2018 01:40:00,52
05/11/2018 01:45:00,66
05/11/2018 01:50:00,52
05/11/2018 01:55:00,49
05/11/2018 02:00:00,62
05/11/2018 02:05:00,50
05/11/2018 02:10:00,49
05/11/2018 02:15:00,57
05/11/2018 02:20:00,45
05/11/2018 02:25:00,34
05/11/2018 02:30:00,39
05/11/2018 02:35:00,46
05/11/2018 02:40:00,36
05/11/2018 02:45:00,43
05/11/2018 02:50:00,36
05/11/2018 02:55:00,33
05/11/2018 03:00:00,32
05/11/2018 03:05:00,32
05/11/2018 03:10:00,20
05/11/2018 03:15:00,18
05/11/2018 03:20:00,25
05/11/2018 03:25:00,28
05/11/2018 03:30:00,18
05/11/2018 03:35:00,27
05/11/2018 03:40:00,21
05/11/2018 03:45:00,23
05/11/2018 03:50:00,12
05/11/2018 03:55:00,14
05/11/2018 04:00:00,22
05/11/2018 04:05:00,15
05/11/2018 04:10:00,18
05/11/2018 04:15:00,20
05/11/2018 04:20:00,22
05/11/2018 04:25:00,30
05/11/2018 04:30:00,31
05/11/2018 04:35:00,30
05/11/2018 04:40:00,29
05/11/2018 04:45:00,31
05/11/2018 04:50:00,23
05/11/2018 04:55:00,39
05/11/2018 05:00:00,34
05/11/2018 05:05:00,36
05/11/2018 05:10:00,44
05/11/2018 05:15:00,38
05/11/2018 05:20:00,53
05/11/2018 05:25:00,54
05/11/2018 05:30:00,49
05/11/2018 05:35:00,58
05/11/2018 05:40:00,77
05/11/2018 05:45:00,96
05/11/2018 05:50:00,98
05/11/2018 05:55:00,81
05/11/2018 06:00:00,76
05/11/2018 06:05:00,100
05/11/2018 06:10:00,112
05/11/2018 06:15:00,130
05/11/2018 06:20:00,118
05/11/2018 06:25:00,122
05/11/2018 06:30:00,129
05/11/2018 06:35:00,165
05/11/2018 06:40:00,165
05/11/2018 06:45:00,215
05/11/2018 06:50:00,180
05/11/2018 06:55:00,174
05/11/2018 07:00:00,182
05/11/2018 07:05:00,221
05/11/2018 07:10:00,249
05/11/2018 07:15:00,261
05/11/2018 07:20:00,258
05/11/2018 07:25:00,287
05/11/2018 07:30:00,303
05/11/2018 07:35:00,328
05/11/2018 07:40:00,342
05/11/2018 07:45:00,349
05/11/2018 07:50:00,321
05/11/2018 07:55:00,315
05/11/2018 08:00:00,278
05/11/2018 08:05:00,300
05/11/2018 08:10:00,297
05/11/2018 08:15:00,376
05/11/2018 08:20:00,300
05/11/2018 08:25:00,296
05/11/2018 08:30:00,334
05/11/2018 08:35:00,366
05/11/2018 08:40:00,327
05/11/2018 08:45:00,311
05/11/2018 08:50:00,345
05/11/2018 08:55:00,303
05/11/2018 09:00:00,304
05/11/2018 09:05:00,272
05/11/2018 09:10:00,310
05/11/2018 09:15:00,360
05/11/2018 09:20:00,313
05/11/2018 09:25:00,324
05/11/2018 09:30:00,314
05/11/2018 09:35:00,332
05/11/2018 09:40:00,334
05/11/2018 09:45:00,312
05/11/2018 09:50:00,335
05/11/2018 09:55:00,323
05/11/2018 10:00:00,309
05/11/2018 10:05:00,287
05/11/2018 10:10:00,360
05/11/2018 10:15:00,341
05/11/2018 10:20:00,357
05/11/2018 10:25:00,328
05/11/2018 10:30:00,333
05/11/2018 10:35:00,335
05/11/2018 10:40:00,381
05/11/2018 10:45:00,358
05/11/2018 10:50:00,369
05/11/2018 10:55:00,375
05/11/2018 11:00:00,345
05/11/2018 11:05:00,339
05/11/2018 11:10:00,399
05/11/2018 11:15:00,433
05/11/2018 11:20:00,360
05/11/2018 11:25:00,457
05/11/2018 11:30:00,362
05/11/2018 11:35:00,378
05/11/2018 11:40:00,368
05/11/2018 11:45:00,447
05/11/2018 11:50:00,503
05/11/2018 11:55:00,417
05/11/2018 12:00:00,390
05/11/2018 12:05:00,446
05/11/2018 12:10:00,453
05/11/2018 12:15:00,484
05/11/2018 12:20:00,468
05/11/2018 12:25:00,483
05/11/2018 12:30:00,496
05/11/2018 12:35:00,433
05/11/2018 12:40:00,514
05/11/2018 12:45:00,488
05/11/2018 12:50:00,509
05/11/2018 12:55:00,467
05/11/2018 13:00:00,448
05/11/2018 13:05:00,511
05/11/2018 13:10:00,483
05/11/2018 13:15:00,507
05/11/2018 13:20:00,576
05/11/2018 13:25:00,536
05/11/2018 13:30:00,548
05/11/2018 13:35:00,510
05/11/2018 13:40:00,543
05/11/2018 13:45:00,595
05/11/2018 13:50:00,528
05/11/2018 13:55:00,571
05/11/2018 14:00:00,528
05/11/2018 14:05:00,558
05/11/2018 14:10:00,590
05/11/2018 14:15:00,540
05/11/2018 14:20:00,568
05/11/2018 14:25:00,506
05/11/2018 14:30:00,575
05/11/2018 14:35:00,594
05/11/2018 14:40:00,567
05/11/2018 14:45:00,575
05/11/2018 14:50:00,499
05/11/2018 14:55:00,486
05/11/2018 15:00:00,495
05/11/2018 15:05:00,521
05/11/2018 15:10:00,517
05/11/2018 15:15:00,529
05/11/2018 15:20:00,519
05/11/2018 15:25:00,550
05/11/2018 15:30:00,569
05/11/2018 15:35:00,566
05/11/2018 15:40:00,533
05/11/2018 15:45:00,501
05/11/2018 15:50:00,470
05/11/2018 15:55:00,470
05/11/2018 16:00:00,532
05/11/2018 16:05:00,549
05/11/2018 16:10:00,476
05/11/2018 16:15:00,496
05/11/2018 16:20:00,507
05/11/2018 16:25:00,506
05/11/2018 16:30:00,514
05/11/2018 16:35:00,488
05/11/2018 16:40:00,538
05/11/2018 16:45:00,547
05/11/2018 16:50:00,532
05/11/2018 16:55:00,528
05/11/2018 17:00:00,532
05/11/2018 17:05:00,504
05/11/2018 17:10:00,545
05/11/2018 17:15:00,525
05/11/2018 17:20:00,393
05/11/2018 17:25:00,455
05/11/2018 17:30:00,490
05/11/2018 17:35:00,541
05/11/2018 17:40:00,542
05/11/2018 17:45:00,548
05/11/2018 17:50:00,441
05/11/2018 17:55:00,439
05/11/2018 18:00:00,477
05/11/2018 18:05:00,443
05/11/2018 18:10:00,474
05/11/2018 18:15:00,473
05/11/2018 18:20:00,457
05/11/2018 18:25:00,459
05/11/2018 18:30:00,441
05/11/2018 18:35:00,450
05/11/2018 18:40:00,436
05/11/2018 18:45:00,429
05/11/2018 18:50:00,438
05/11/2018 18:55:00,406
05/11/2018 19:00:00,399
05/11/2018 19:05:00,384
05/11/2018 19:10:00,368
05/11/2018 19:15:00,376
05/11/2018 19:20:00,402
05/11/2018 19:25:00,376
05/11/2018 19:30:00,387
05/11/2018 19:35:00,392
05/11/2018 19:40:00,383
05/11/2018 19:45:00,373
05/11/2018 19:50:00,337
05/11/2018 19:55:00,326
05/11/2018 20:00:00,311
05/11/2018 20:05:00,339
05/11/2018 20:10:00,380
05/11/2018 20:15:00,327
05/11/2018 20:20:00,363
05/11/2018 20:25:00,315
05/11/2018 20:30:00,335
05/11/2018 20:35:00,355
05/11/2018 20:40:00,331
05/11/2018 20:45:00,327
05/11/2018 20:50:00,376
05/11/2018 20:55:00,338
05/11/2018 21:00:00,312
05/11/2018 21:05:00,399
05/11/2018 21:10:00,394
05/11/2018 21:15:00,369
05/11/2018 21:20:00,367
05/11/2018 21:25:00,379
05/11/2018 21:30:00,343
05/11/2018 21:35:00,334
05/11/2018 21:40:00,359
05/11/2018 21:45:00,336
05/11/2018 21:50:00,334
05/11/2018 21:55:00,299
05/11/2018 22:00:00,342
05/11/2018 22:05:00,361
05/11/2018 22:10:00,333
05/11/2018 22:15:00,303
05/11/2018 22:20:00,272
05/11/2018 22:25:00,277
05/11/2018 22:30:00,312
05/11/2018 22:35:00,289
05/11/2018 22:40:00,292
05/11/2018 22:45:00,264
05/11/2018 22:50:00,238
05/11/2018 22:55:00,213
05/11/2018 23:00:00,198
05/11/2018 23:05:00,230
05/11/2018 23:10:00,240
05/11/2018 23:15:00,248
05/11/2018 23:20:00,207
05/11/2018 23:25:00,215
05/11/2018 23:30:00,222
05/11/2018 23:35:00,212
05/11/2018 23:40:00,191
05/11/2018 23:45:00,175
05/11/2018 23:50:00,164
05/11/2018 23:55:00,178
05/14/2018 00:00:00,89
05/14/2018 00:05:00,102
05/14/2018 00:10:00,105
05/14/2018 00:15:00,81
05/14/2018 00:20:00,82
05/14/2018 00:25:00,60
05/14/2018 00:30:00,60
05/14/2018 00:35:00,56
05/14/2018 00:40:00,35
05/14/2018 00:45:00,49
05/14/2018 00:50:00,42
05/14/2018 00:55:00,49
05/14/2018 01:00:00,34
05/14/2018 01:05:00,35
05/14/2018 01:10:00,46
05/14/2018 01:15:00,38
05/14/2018 01:20:00,42
05/14/2018 01:25:00,38
05/14/2018 01:30:00,29
05/14/2018 01:35:00,26
05/14/2018 01:40:00,37
05/14/2018 01:45:00,29
05/14/2018 01:50:00,21
05/14/2018 01:55:00,33
05/14/2018 02:00:00,25
05/14/2018 02:05:00,28
05/14/2018 02:10:00,29
05/14/2018 02:15:00,28
05/14/2018 02:20:00,24
05/14/2018 02:25:00,19
05/14/2018 02:30:00,21
05/14/2018 02:35:00,23
05/14/2018 02:40:00,29
05/14/2018 02:45:00,20
05/14/2018 02:50:00,12
05/14/2018 02:55:00,15
05/14/2018 03:00:00,15
05/14/2018 03:05:00,16
05/14/2018 03:10:00,20
05/14/2018 03:15:00,14
05/14/2018 03:20:00,19
05/14/2018 03:25:00,10
05/14/2018 03:30:00,13
05/14/2018 03:35:00,16
05/14/2018 03:40:00,17
05/14/2018 03:45:00,16
05/14/2018 03:50:00,19
05/14/2018 03:55:00,15
05/14/2018 04:00:00,12
05/14/2018 04:05:00,18
05/14/2018 04:10:00,14
05/14/2018 04:15:00,16
05/14/2018 04:20:00,20
05/14/2018 04:25:00,27
05/14/2018 04:30:00,20
05/14/2018 04:35:00,28
05/14/2018 04:40:00,26
05/14/2018 04:45:00,37
05/14/2018 04:50:00,34
05/14/2018 04:55:00,31
05/14/2018 05:00:00,30
05/14/2018 05:05:00,51
05/14/2018 05:10:00,29
05/14/2018 05:15:00,36
05/14/2018 05:20:00,35
05/14/2018 05:25:00,42
05/14/2018 05:30:00,53
05/14/2018 05:35:00,54
05/14/2018 05:40:00,83
05/14/2018 05:45:00,86
05/14/2018 05:50:00,102
05/14/2018 05:55:00,74
05/14/2018 06:00:00,89
05/14/2018 06:05:00,93
05/14/2018 06:10:00,123
05/14/2018 06:15:00,100
05/14/2018 06:20:00,109
05/14/2018 06:25:00,120
05/14/2018 06:30:00,137
05/14/2018 06:35:00,134
05/14/2018 06:40:00,162
05/14/2018 06:45:00,163
05/14/2018 06:50:00,184
05/14/2018 06:55:00,174
05/14/2018 07:00:00,170
05/14/2018 07:05:00,205
05/14/2018 07:10:00,189
05/14/2018 07:15:00,225
05/14/2018 07:20:00,234
05/14/2018 07:25:00,242
05/14/2018 07:30:00,248
05/14/2018 07:35:00,267
05/14/2018 07:40:00,294
05/14/2018 07:45:00,344
05/14/2018 07:50:00,306
05/14/2018 07:55:00,272
05/14/2018 08:00:00,266
05/14/2018 08:05:00,260
05/14/2018 08:10:00,269
05/14/2018 08:15:00,270
05/14/2018 08:20:00,279
05/14/2018 08:25:00,279
05/14/2018 08:30:00,260
05/14/2018 08:35:00,287
05/14/2018 08:40:00,293
05/14/2018 08:45:00,316
05/14/2018 08:50:00,297
05/14/2018 08:55:00,265
05/14/2018 09:00:00,257
05/14/2018 09:05:00,251
05/14/2018 09:10:00,264
05/14/2018 09:15:00,265
05/14/2018 09:20:00,294
05/14/2018 09:25:00,263
05/14/2018 09:30:00,282
05/14/2018 09:35:00,276
05/14/2018 09:40:00,299
05/14/2018 09:45:00,299
05/14/2018 09:50:00,270
05/14/2018 09:55:00,284
05/14/2018 10:00:00,309
05/14/2018 10:05:00,283
05/14/2018 10:10:00,304
05/14/2018 10:15:00,298
05/14/2018 10:20:00,335
05/14/2018 10:25:00,277
05/14/2018 10:30:00,299
05/14/2018 10:35:00,307
05/14/2018 10:40:00,344
05/14/2018 10:45:00,311
05/14/2018 10:50:00,341
05/14/2018 10:55:00,342
05/14/2018 11:00:00,304
05/14/2018 11:05:00,325
05/14/2018 11:10:00,329
05/14/2018 11:15:00,314
05/14/2018 11:20:00,366
05/14/2018 11:25:00,334
05/14/2018 11:30:00,363
05/14/2018 11:35:00,354
05/14/2018 11:40:00,347
05/14/2018 11:45:00,417
05/14/2018 11:50:00,336
05/14/2018 11:55:00,384
05/14/2018 12:00:00,395
05/14/2018 12:05:00,363
05/14/2018 12:10:00,353
05/14/2018 12:15:00,373
05/14/2018 12:20:00,399
05/14/2018 12:25:00,402
05/14/2018 12:30:00,361
05/14/2018 12:35:00,364
05/14/2018 12:40:00,396
05/14/2018 12:45:00,434
05/14/2018 12:50:00,426
05/14/2018 12:55:00,412
05/14/2018 13:00:00,380
05/14/2018 13:05:00,449
05/14/2018 13:10:00,415
05/14/2018 13:15:00,441
05/14/2018 13:20:00,444
05/14/2018 13:25:00,417
05/14/2018 13:30:00,424
05/14/2018 13:35:00,407
05/14/2018 13:40:00,459
05/14/2018 13:45:00,438
05/14/2018 13:50:00,438
05/14/2018 13:55:00,434
05/14/2018 14:00:00,463
05/14/2018 14:05:00,513
05/14/2018 14:10:00,484
05/14/2018 14:15:00,482
05/14/2018 14:20:00,538
05/14/2018 14:25:00,517
05/14/2018 14:30:00,573
05/14/2018 14:35:00,570
05/14/2018 14:40:00,623
05/14/2018 14:45:00,573
05/14/2018 14:50:00,584
05/14/2018 14:55:00,530
05/14/2018 15:00:00,543
05/14/2018 15:05:00,606
